Id,FirstName,LastName,Role
ad5f293e-f53e-4302-815f-4eada630d4c0,Toshiaki,Iwashiro,StoryAndArt
f3571288-22cf-4983-9631-c01927ceb26a,Yasuhiro,Nightow,StoryAndArt
a73ece66-9e85-438c-8fd7-61fbfd04dcea,Ken,Wakui,StoryAndArt
7e5e17c5-4a5e-4be4-8357-03d5d2b4feee,Suu,Morishita,StoryAndArt
9e61267e-d12d-4142-9685-f52dc3bfbc91,Arina,Tanemura,StoryAndArt
94d79e01-5db3-4041-b102-9b85babb6468,Daisuke,Moriyama,StoryAndArt
81d5883c-48b8-4abb-807e-ed38a51e8f18,Rumiko,Takahashi,StoryAndArt
71be7141-b1c9-49d9-aac5-3ff6dc46b617,Kiyoko,Arai,StoryAndArt
d3ac7d84-fb42-45f1-9ae1-bac68fe31a76,Shinobu,Ohtaka,Story
aae217c0-8670-4f00-b311-b6b46108b349,Yoshifumi,Ohtera,Art
08fb6319-785c-4119-ad39-1096b6ef025a,Kazuo,Koike,Story
c4208b89-60c4-4ebe-b5f5-b41860b4a655,Goseki,Kojima,Art
98166f4e-91d2-49b0-8430-66b76bbe864c,Hajime,Inoryuu,Story
1fbc6d9f-8b2a-4d57-8056-6dc42f99caa5,Shouta,Itou,Art
eb5def9d-f4ec-49b4-8cae-b1981f8eec24,Io,Sakisaka,Art
27d4c6af-d176-4c44-ac48-b12da5ec5d4d,Akiko,Abe,Story
f5e90eec-f7a8-4dfd-a760-44bc0e9261e1,Izumi,Tsubaki,StoryAndArt
2cd01d73-882e-477e-be79-9c878b4a7cf7,Yuuji,Terajima,StoryAndArt
329a2570-1bb2-4d55-8835-c1bdab68f5e7,,Boichi,StoryAndArt
2fe8a016-4580-4e11-96b6-9cf7535261c5,Jun,Sakura,StoryAndArt
5d97050f-a230-4234-9662-0210625f2d97,Ken,Akamatsu,StoryAndArt
f492d8b3-36fe-4739-8607-220fb7d9ff42,Fujio F.,Fujiko,StoryAndArt
127415a3-1c51-406b-b9d9-1911f6e0d9a7,Takako,Shimura,StoryAndArt
0e69b25c-c7ad-4944-8524-9cc211ff771f,Wakou,Honna,StoryAndArt
4902c236-6480-402a-85c4-feee6e970c24,Shiori,Amase,StoryAndArt
f62bd284-6df8-448d-965a-31676701fe6b,Kazue,Katou,StoryAndArt
d7bd4a25-3b7e-465a-817b-c91e51bc70f2,Shuuichi,Shigeno,StoryAndArt
fa298274-883f-44be-b1f0-947dc9a39951,Yuuki,Obata,StoryAndArt
c336d987-01a5-4495-a8c2-a43c0b68b849,Misaki,Takamatsu,StoryAndArt
ac756321-5814-4119-923b-be733be125de,Ryoichi,Ikegami,Art
56f806d8-cba7-44b5-83b8-cc3c2d11b2d5,Hiroshi,Shiibashi,StoryAndArt
72ed5cc1-cb05-4a5d-8f46-1ed70410d127,Norio,Sakurai,StoryAndArt
430e178e-7bd2-45a9-a44a-e20087bd3f16,Kazune,Kawahara,Story
c73e0bcd-222e-4cc6-9839-223ee503f423,,Aruko,Art
5e9066c3-a60d-4a64-8e13-f24821c6c7f1,Hikaru,Katsuki,StoryAndArt
32623252-8dd0-4604-a3f0-185926c7348f,Mitsubachi,Miyuki,StoryAndArt
1fcaa769-cfb1-4640-bb6b-aca82ea42020,Nobuyuki,Fukumoto,StoryAndArt
10813989-273c-4174-9da5-fc446b0ca45e,Yuuki,Tabata,StoryAndArt
d1d1ac3d-41bb-4597-9a45-9acaec37405e,Kei,Natsumi,Art
87fdd309-46b9-422a-93c8-b5ba6a6e1342,,Ryukishi07,Story
a935331f-fd7b-4a34-8c82-687253d92ad4,Rei,Touma,StoryAndArt
9cd1883c-36f0-4840-affc-8bc083047ee7,,Akitaka,Art
32ebd9c8-2096-4eb2-a7a6-f399d3489c92,Mohiro,Kitoh,StoryAndArt
92986283-5231-4a2e-9449-f090340f1217,Hari,Tokeino,StoryAndArt
322994b6-7119-442d-801e-0a849fbd2367,Masami,Kurumada,Story
37e2a63a-75df-432e-8e78-4b98ce810f41,Shiori,Teshirogi,StoryAndArt
b56f6511-972c-4a31-a9e9-8e2f89557478,Sayman,Dowman,StoryAndArt
b93dd732-cf67-46da-b203-22e32044e3c9,Kaori,Ozaki,StoryAndArt
3a15fd6c-4bce-41d9-8202-1f9173087321,Eiji,Masuda,StoryAndArt
1ff6436c-a28e-4116-b5e9-6daefa9cb283,Kouji,Seo,StoryAndArt
366d2ad4-98b2-4186-abe9-24410ce59d1f,Nene,Yukimori,StoryAndArt
3acbd41a-2bc4-4dda-8e3c-9370ea2a086c,Taiyou,Matsumoto,StoryAndArt
9800ea56-5101-4ac1-a01a-2fcadb939063,Hiroshi,Takahashi,StoryAndArt
7c48da2c-dbe8-47c4-bd2c-e102344d2eed,Yellow,Tanabe,StoryAndArt
af357ed6-d248-4f4c-8cfb-6fcee5ae9831,Yutori,Houjou,Art
534806c1-ab72-4efc-b491-a5ad12cb3b57,Tite,Kubo,StoryAndArt
ef3d2c7c-13d2-4d0b-8ace-30e4532864d9,Matsuri,Hino,StoryAndArt
95c155be-5189-431f-9d8f-5dc597011b76,Koume,Fujichika,StoryAndArt
c5c889a4-3279-4c9f-be34-4321a5ec097b,Jin,Kobayashi,StoryAndArt
2c88b70c-ec21-49e4-898b-883f80bca68a,Meca,Tanaka,StoryAndArt
8311e1af-faa4-434e-bd38-a208c7f3b746,Masamune,Shirow,StoryAndArt
86baea50-f4b3-494d-8593-d117d64a640d,Yasuhiro,Kano,StoryAndArt
7ff2557f-3f51-41f8-b25d-395fe15c6b9a,Masayuki,Taguchi,Art
29c01d85-03ef-4d2d-8898-e2b54568b3fa,Koushun,Takami,Story
312779f7-04b3-48b1-bb56-5e186e37cff1,Yumi,Tamura,StoryAndArt
9b648e9c-48c6-4a57-8bc5-96bb1397e62d,Hiro,Mashima,StoryAndArt
c244cfbd-9859-481b-80fc-d908f67db241,Hiromu,Arakawa,Art
fece1f89-4bda-4fdb-a1e5-f4d7e7b186eb,Makoto,Inoue,Story
a63bcf26-f4f6-4821-9c78-4304845c7137,Hiroyuki,Nishimori,StoryAndArt
