Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
44,Gintama,Shounen,Manga,Finished,77,https://cdn.myanimelist.net/images/manga/3/267795l.jpg
45,Ouran Koukou Host Club,Shoujo,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/267782l.jpg
46,Dragon Ball,Shounen,Manga,Finished,42,https://cdn.myanimelist.net/images/manga/1/267793l.jpg
47,Blue Period,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/204827l.jpg
48,Skip Beat!,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/255389l.jpg
49,Kami nomi zo Shiru Sekai,Shounen,Manga,Finished,26,https://cdn.myanimelist.net/images/manga/2/188974l.jpg
50,Jibaku Shounen Hanako-kun,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/192551l.jpg
51,Kokou no Hito,Seinen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/5/96223l.jpg
52,Bakuman.,Shounen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/1/208974l.jpg
53,Kaichou wa Maid-sama!,Shoujo,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/267328l.jpg
54,Beck,Shounen,Manga,Finished,34,https://cdn.myanimelist.net/images/manga/3/253274l.jpg
55,Kuroshitsuji,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/248448l.jpg
56,Shigatsu wa Kimi no Uso,Shounen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/3/102691l.jpg
57,Noragami,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/161911l.jpg
58,Kamisama Hajimemashita,Shoujo,Manga,Finished,25,https://cdn.myanimelist.net/images/manga/1/269698l.jpg
59,21st Century Boys,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/263856l.jpg
60,Tensei shitara Slime Datta Ken,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/167639l.jpg
61,Look Back,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/249833l.jpg
62,Eyeshield 21,Shounen,Manga,Finished,37,https://cdn.myanimelist.net/images/manga/2/165586l.jpg
63,Golden Kamuy,Seinen,Manga,Finished,31,https://cdn.myanimelist.net/images/manga/3/149257l.jpg
