Id,Title,DemographicType,Type,PublishingStatus,TotalVolumes,MainImageUrl
2062,Hachimitsu ni Hatsukoi,Shoujo,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/2/151460l.jpg
2063,Ame to Kimi to,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/241988l.jpg
2064,Dance Dance Danseur,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/190277l.jpg
2065,Hameln no Violin-hiki,Shounen,Manga,Finished,37,https://cdn.myanimelist.net/images/manga/2/181467l.jpg
2066,Lovey Dovey,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/176093l.jpg
2067,Kanojo no Tokutouseki,Seinen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/220265l.jpg
2068,Yakusoku no Neverland: Tokubetsu Bangai-hen - Hajimari no Isshi,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/236799l.jpg
2069,Honey Hunt,Shoujo,Manga,OnHiatus,6,https://cdn.myanimelist.net/images/manga/2/264386l.jpg
2070,Ayu Mayu,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/157775l.jpg
2071,Hatsukoi Maze,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/247220l.jpg
2072,Matsuri Special,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/250014l.jpg
2073,Survival,Shounen,Manga,Finished,22,https://cdn.myanimelist.net/images/manga/3/193081l.jpg
2074,Kimi to Scandal!,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/270457l.jpg
2075,Saiyuuki Reload Blast,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/180291l.jpg
2076,Koi wa Tsuzuku yo Dokomademo,Josei,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/1/185180l.jpg
2077,Night of the Beasts,Shoujo,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/2/5124l.jpg
2078,Mobuko no Koi,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/202083l.jpg
2079,Akuma de Koi Shiyou,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/90797l.jpg
2080,Hataraku Maou-sama! High School!,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/156923l.jpg
2081,Girls & Panzer: Little Army,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/205710l.jpg
2082,Air Gear - Trick:358,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/170169l.jpg
2083,"Ima, Koi wo Shiteimasu.",Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/233772l.jpg
2084,Kuro Bara Alice,Shoujo,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/150123l.jpg
2085,Mouryou no Yurikago,Seinen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/2/179505l.jpg
2086,Fruits Basket: Another,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/181877l.jpg
2087,Kin no Kanojo Gin no Kanojo,Shounen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/188968l.jpg
2088,Tales of Symphonia: Extra Load,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/10971l.jpg
2089,Ou no Kemono: Enpei no Arcana,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/235255l.jpg
2090,Aozora Yell,Shoujo,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/1/163927l.jpg
2091,Tetsuwan Girl,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/2/186034l.jpg
2092,Getter Robo Saga,Shounen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/2/272713l.jpg
2093,Mitsu x Mitsu Drops,Shoujo,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/253654l.jpg
2094,Mahoutsukai to Koi no Biyaku,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/59381l.jpg
2095,Madame Petit,Shoujo,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/1/176951l.jpg
2096,Toumei Ningen no Koi,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/107299l.jpg
2097,Psychometrer Eiji,Shounen,Manga,Finished,25,https://cdn.myanimelist.net/images/manga/2/206035l.jpg
2098,Nishiki-kun no Nasugamama,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/103573l.jpg
2099,Centaur no Nayami,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/76597l.jpg
2100,Tsuki Tsuki!,Seinen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/1/178399l.jpg
2101,The Fable: The Second Contact,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/254075l.jpg
2102,Darling Only You!,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/17213l.jpg
2103,Gimai Seikatsu,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/259020l.jpg
2104,Ayakashi Hisen,Shoujo,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/2/173467l.jpg
2105,MF Ghost,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/205248l.jpg
2106,Koibana Onsen,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/51425l.jpg
2107,Hitomi-sensei no Hokenshitsu,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/118953l.jpg
2108,Alien 9,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/5/272365l.jpg
2109,Tenshi na Konamaiki,Shounen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/3/172156l.jpg
2110,Chocolat,Seinen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/2/55163l.jpg
2111,Zenbu Shiritai♡,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/111049l.jpg
2112,No.5,Seinen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/178634l.jpg
2113,Kimi no Neiro,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/39119l.jpg
2114,Winter Flowers,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/2/5738l.jpg
2115,Tennen Pearl Pink,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/5/1538l.jpg
2116,Sugar☆Family,Shoujo,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/1/245006l.jpg
2117,Biohazard: Marhawa Desire,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/5/67021l.jpg
2118,Hitsuji no Uta,Seinen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/2/173240l.jpg
2119,Akuma no Ororon,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/161256l.jpg
2120,JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring,Shounen,LightNovel,Finished,1,https://cdn.myanimelist.net/images/manga/3/270478l.jpg
2121,Kidou Senshi Gundam Thunderbolt,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/179767l.jpg
2122,Present wa Shinju,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/38077l.jpg
2123,Coffee & Vanilla,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/171393l.jpg
2124,Fukashigi Philia,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/262980l.jpg
2125,Hanebado!,Seinen,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/3/135083l.jpg
2126,D-ash,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/152363l.jpg
2127,Reiri,Shounen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/185926l.jpg
2128,Yu☆Gi☆Oh! GX,Shounen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/3/178240l.jpg
2129,Yuusha Gojo Kumiai Kouryuugata Keijiban,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/186476l.jpg
2130,Kyou no Yuiko-san,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/158551l.jpg
2131,Nekomori-kun no Himitsu no Tobira,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/60791l.jpg
2132,Kataomoi no Mukougawa,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/4/264367l.jpg
2133,Palace Meidi,Shoujo,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/1/195235l.jpg
2134,Maruoka-san Chi no Kyouikugakari,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/171448l.jpg
2135,Real Clothes,Josei,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/2/147187l.jpg
2136,Sabaki no Mon,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/5/181374l.jpg
2137,Cyboy,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/5/261583l.jpg
2138,PxP,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/183170l.jpg
2139,Shin Kidou Senki Gundam Wing: Episode Zero,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/5/126995l.jpg
2140,Louvre no Neko,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/203466l.jpg
2141,Sweet 16,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/183126l.jpg
2142,Ousama ni Sasagu Kusuriyubi,Josei,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/148873l.jpg
2143,Boku ni Hana no Melancholy,Shoujo,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/3/175323l.jpg
2144,Sumomomo Momomo: Chijou Saikyou no Yome,Seinen,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/1/178230l.jpg
2145,Getter Robo Āḥ,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/22320l.jpg
2146,Ciguatera,Seinen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/1/50899l.jpg
2147,Shinrei Shashinshi Kouno Saburou,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/233323l.jpg
2148,Shinigami-sama ni Saigo no Onegai wo,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/71277l.jpg
2149,Zenbu Choudai,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/4/168186l.jpg
2150,Mune ga Naru no wa Kimi no Sei,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/150390l.jpg
2151,Steins;Gate: Mugen Enten no Arc Light,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/146871l.jpg
2152,Ginga Densetsu Weed,Seinen,Manga,Finished,60,https://cdn.myanimelist.net/images/manga/5/180197l.jpg
2153,C-blossom: Case 729,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/62307l.jpg
2154,Toshishita no Otokonoko,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/166587l.jpg
2155,Shuuen no Shiori,Josei,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/2/143401l.jpg
2156,Mado kara Madoka-chan,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/196588l.jpg
2157,Getter Robo,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/272716l.jpg
2158,Dragon Eye,Shounen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/2/176196l.jpg
2159,Sonogo no Succubus-san,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/249438l.jpg
2160,Toraware no Minoue,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/123721l.jpg
2161,K: The First,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/170852l.jpg
2162,Chounouryokusha Saiki Kusuo no Ψ-nan 0,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/95619l.jpg
2163,Black Lagoon,Seinen,LightNovel,Finished,2,https://cdn.myanimelist.net/images/manga/1/257892l.jpg
2164,Monster Hunter Orage,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/2/193452l.jpg
2165,Zettai†Joousei,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/187412l.jpg
2166,Rengoku ni Warau,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/5/124315l.jpg
2167,Rotte no Omocha!,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/158386l.jpg
2168,Game: Suit no Sukima,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/180431l.jpg
2169,Zettai Kakusei Tenshi Mistress☆Fortune,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/150594l.jpg
2170,First Girl,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/40473l.jpg
2171,Lupin III,Seinen,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/4/261098l.jpg
2172,Gekijouban One Piece: Stampede,Shounen,LightNovel,Finished,1,https://cdn.myanimelist.net/images/manga/1/230439l.jpg
2173,Sengoku Danshi Hana no Ran,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/79411l.jpg
2174,Hoozuki no Reitetsu,Seinen,Manga,Finished,31,https://cdn.myanimelist.net/images/manga/2/176888l.jpg
2175,Romance Dawn,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/263631l.jpg
2176,Kabushikigaisha Magi-Lumière,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/255293l.jpg
2177,High School DxD: Asia & Koneko no Himitsu no Keiyaku!?,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/144667l.jpg
2178,Stray Dog,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/272133l.jpg
2179,Mirai Nikki: Redial,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/104119l.jpg
2180,Shin☆Daa! Daa! Daa!,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/41440l.jpg
2181,Kiss x Miss,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/4/6831l.jpg
2182,Hanamaru Youchien,Seinen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/2/158884l.jpg
2183,16 Life,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/4/123189l.jpg
2184,Scarlet Order: Dance in the Vampire Bund 2,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/153266l.jpg
2185,Ore no Kanojo to Osananajimi ga Shuraba sugiru,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/3/188875l.jpg
2186,Sarah: The Legend of Mother Sarah,Seinen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/2/105847l.jpg
2187,Nekojiru Udon,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/5/157941l.jpg
2188,Tamashii no Futago,Josei,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/263711l.jpg
2189,Dakedo Happy Paradise,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/20748l.jpg
2190,ACCA: 13-ku Kansatsu-ka,Seinen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/108733l.jpg
2191,Koudai-ke no Hitobito,Josei,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/1/126855l.jpg
2192,Obaachan Shoujo Hinata-chan,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/162654l.jpg
2193,Kurogane,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/1/45653l.jpg
2194,Kekkai Sensen: Back 2 Back,Shounen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/3/171019l.jpg
2195,Aka ya Akashi ya Ayakashi no,Josei,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/1/71163l.jpg
2196,Ojousama no Himitsu♥,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/112745l.jpg
2197,Nemunoki no Geshukusou,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/10377l.jpg
2198,Oumagadoki Doubutsuen,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/260532l.jpg
2199,Kimetsu no Yaiba: Kataha no Chou,Shounen,LightNovel,Finished,1,https://cdn.myanimelist.net/images/manga/1/229953l.jpg
2200,Death Note Tanpenshuu,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/240669l.jpg
2201,Opapagoto,Shounen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/147179l.jpg
2202,Itai Oneesan wa Suki desu ka?,Seinen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/1/235189l.jpg
2203,Aozora Pop,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/172887l.jpg
2204,Busou Shoujo Machiavellianism,Shounen,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/2/188821l.jpg
2205,Missile Happy!,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/270466l.jpg
2206,Over Drive,Shounen,Manga,Finished,17,https://cdn.myanimelist.net/images/manga/3/191761l.jpg
2207,Tekken Chinmi,Shounen,Manga,Finished,35,https://cdn.myanimelist.net/images/manga/2/280452l.jpg
2208,Hakushaku to Yousei,Shoujo,LightNovel,Finished,33,https://cdn.myanimelist.net/images/manga/3/15760l.jpg
2209,Renren Zakari,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/109257l.jpg
2210,Bouncer,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/191308l.jpg
2211,Hanayome-sama wa 16-sai,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/5/15698l.jpg
2212,Hatsukoi Hakusho,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/38789l.jpg
2213,Mars no Kiss,Josei,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/66931l.jpg
2214,Wolfsmund,Seinen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/3/66147l.jpg
2215,Matantei Loki,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/3/14908l.jpg
2216,Senpai! Imakara Kokurimasu!,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/199041l.jpg
2217,Maria-sama ga Miteru,Shoujo,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/2/101085l.jpg
2218,Usotsuki Kusuriyubi,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/172313l.jpg
2219,Versus,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/279303l.jpg
2220,Tokyo Alien Brothers,Seinen,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/175315l.jpg
2221,Bara no Tame ni,Shoujo,Manga,Finished,16,https://cdn.myanimelist.net/images/manga/2/261035l.jpg
2222,Kimi wa Midara na Boku no Joou,Seinen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/187708l.jpg
2223,Shishunki no Iron Maiden,Seinen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/3/201083l.jpg
2224,Mismarca Koukoku Monogatari,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/153712l.jpg
2225,Kocchi Muite! Miiko,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/255795l.jpg
2226,One Piece: Mugiwara Daigekijou,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/273090l.jpg
2227,Are←Nochi Kareshi,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/83863l.jpg
2228,ənígmə,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/4/39803l.jpg
2229,Tenmaku Cinema,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/286340l.jpg
2230,Sekai wa Happy de Dekiteru,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/148701l.jpg
2231,Nozo x Kimi,Shounen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/2/78073l.jpg
2232,Shaman King: Flowers,Shounen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/3/265862l.jpg
2233,Otogimoyou Ayanishiki,Shoujo,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/2/252506l.jpg
2234,Bakemono no Ko,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/186224l.jpg
2235,Fuyu no Doubutsuen,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/2/21934l.jpg
2236,K: Lost Small World,Josei,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/166578l.jpg
2237,Watashitachi ni wa Kabe ga Aru.,Shoujo,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/3/147349l.jpg
2238,Kiniro Mosaic,Seinen,Manga,Finished,11,https://cdn.myanimelist.net/images/manga/3/41828l.jpg
2239,Shokugeki no Sanji,Shounen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/265963l.jpg
2240,SKET Dance,Shounen,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/3/31462l.jpg
2241,Cross Over,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/3/56635l.jpg
2242,Furare Girl,Shoujo,Manga,Finished,14,https://cdn.myanimelist.net/images/manga/1/273225l.jpg
2243,Shounen Note,Seinen,Manga,Finished,8,https://cdn.myanimelist.net/images/manga/1/152355l.jpg
2244,Watari-kun no xx ga Houkai Sunzen,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/158603l.jpg
2245,Yamada to Kase-san.,Shoujo,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/266524l.jpg
2246,Dosanko Gal wa Namara Menkoi,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/224525l.jpg
2247,Dice,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/276430l.jpg
2248,Clematica Kutsuten,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/5/42364l.jpg
2249,Amagi Brilliant Park,Shounen,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/1/132665l.jpg
2250,Sekirara ni Kiss,Shoujo,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/165026l.jpg
2251,Mahou Shoujo Lyrical Nanoha StrikerS THE COMICS,Shounen,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/2/30379l.jpg
2252,Bye-bye Liberty,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/195027l.jpg
2253,Momo Raba,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/1/41196l.jpg
2254,Oresama Ouji,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/123107l.jpg
2255,Golden Boy,Seinen,Manga,Finished,10,https://cdn.myanimelist.net/images/manga/2/265316l.jpg
2256,Mitsudomoe,Shounen,Manga,Finished,19,https://cdn.myanimelist.net/images/manga/1/163012l.jpg
2257,Cyborg 009,Shounen,Manga,Finished,15,https://cdn.myanimelist.net/images/manga/1/273181l.jpg
2258,Sorairo Ageha,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/1/252766l.jpg
2259,Namidaame to Serenade,Josei,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/270283l.jpg
2260,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/263020l.jpg
2261,Fuan no Tane+,Shounen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/138393l.jpg
2262,"Ano Ko no, Toriko.",Shoujo,Manga,Finished,6,https://cdn.myanimelist.net/images/manga/2/156296l.jpg
2263,Fudatsuki no Kyouko-chan,Shounen,Manga,Finished,7,https://cdn.myanimelist.net/images/manga/3/113429l.jpg
2264,Hiren Trip,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/99411l.jpg
2265,Punch!,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/154484l.jpg
2266,Shunkan Gradation,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/199905l.jpg
2267,Ningen Konchuuki,Seinen,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/259239l.jpg
2268,Otomental,Shoujo,Manga,Finished,2,https://cdn.myanimelist.net/images/manga/3/98501l.jpg
2269,Batuque,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/275349l.jpg
2270,Brilliant na Mahou,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/2/164442l.jpg
2271,Issak,Seinen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/2/198485l.jpg
2272,Kamisama Gakuen@Armeria,Shoujo,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/3/162672l.jpg
2273,Naruto Ninden Series,Shounen,LightNovel,Finished,2,https://cdn.myanimelist.net/images/manga/2/70963l.jpg
2274,Captain Tsubasa: Golden-23,Seinen,Manga,Finished,12,https://cdn.myanimelist.net/images/manga/5/153537l.jpg
2275,Ningyou no Kuni,Shounen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/1/195239l.jpg
2276,A Small World,Shoujo,OneShot,Finished,,https://cdn.myanimelist.net/images/manga/4/111687l.jpg
2277,Togainu no Chi,Shoujo,Manga,OnHiatus,10,https://cdn.myanimelist.net/images/manga/1/88465l.jpg
2278,Shouha Shouten!,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/3/253853l.jpg
2279,Aku no Kyouten,Seinen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/2/157762l.jpg
2280,Akuma na Eros,Shoujo,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/1/78909l.jpg
2281,Blazer Drive,Shounen,Manga,Finished,9,https://cdn.myanimelist.net/images/manga/5/15171l.jpg
2282,Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,Shounen,LightNovel,Finished,1,https://cdn.myanimelist.net/images/manga/2/160222l.jpg
2283,Blue,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/184028l.jpg
2284,Joshikousei: Girls-High,Seinen,Manga,Finished,13,https://cdn.myanimelist.net/images/manga/3/152461l.jpg
2285,Mix,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/77591l.jpg
2286,Tora Kiss: A School Odyssey,Seinen,Manga,Finished,4,https://cdn.myanimelist.net/images/manga/3/85827l.jpg
2287,Boku no Sekai Kimi no Real,Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/3/125503l.jpg
2288,Cat's Eye,Shounen,Manga,Finished,18,https://cdn.myanimelist.net/images/manga/3/175778l.jpg
2289,Triage X,Shounen,Manga,Publishing,,https://cdn.myanimelist.net/images/manga/1/151056l.jpg
2290,"Kaichou, Suki tte Ittemo Ii desu ka?",Shoujo,Manga,Finished,1,https://cdn.myanimelist.net/images/manga/1/94815l.jpg
2291,Sakura Discord,Shounen,Manga,Finished,5,https://cdn.myanimelist.net/images/manga/1/149067l.jpg
2292,Hiiro no Isu,Shoujo,Manga,Finished,3,https://cdn.myanimelist.net/images/manga/3/257060l.jpg
2293,Megumi no Daigo,Shounen,Manga,Finished,20,https://cdn.myanimelist.net/images/manga/3/171426l.jpg
